pattern,model,lead,RMSE,F1,CSI
none,persistence,1,8.265,0.6,0.429
none,climatology,1,5.298,0.671,0.505
none,st_transformer,1,3.876,0.741,0.588
none,hybrid_clim_st,1,3.876,0.741,0.588
none,persistence,2,14.815,0.357,0.217
none,climatology,2,5.228,0.719,0.561
none,st_transformer,2,5.832,0.701,0.54
none,hybrid_clim_st,2,5.083,0.742,0.59
point,persistence,1,8.265,0.6,0.429
point,climatology,1,5.298,0.671,0.505
point,st_transformer,1,5.016,0.692,0.529
point,hybrid_clim_st,1,5.016,0.692,0.529
point,persistence,2,14.815,0.357,0.217
point,climatology,2,5.228,0.719,0.561
point,st_transformer,2,6.248,0.683,0.519
point,hybrid_clim_st,2,5.229,0.732,0.578
block,persistence,1,8.265,0.6,0.429
block,climatology,1,5.298,0.671,0.505
block,st_transformer,1,4.994,0.683,0.518
block,hybrid_clim_st,1,4.994,0.683,0.518
block,persistence,2,14.815,0.357,0.217
block,climatology,2,5.228,0.719,0.561
block,st_transformer,2,6.268,0.702,0.541
block,hybrid_clim_st,2,5.229,0.728,0.573
block_time,persistence,1,8.265,0.6,0.429
block_time,climatology,1,5.298,0.671,0.505
block_time,st_transformer,1,4.273,0.72,0.563
block_time,hybrid_clim_st,1,4.273,0.72,0.563
block_time,persistence,2,14.815,0.357,0.217
block_time,climatology,2,5.228,0.719,0.561
block_time,st_transformer,2,5.858,0.698,0.536
block_time,hybrid_clim_st,2,5.094,0.74,0.588
sensor,persistence,1,8.265,0.6,0.429
sensor,climatology,1,5.298,0.671,0.505
sensor,st_transformer,1,5.075,0.693,0.53
sensor,hybrid_clim_st,1,5.076,0.694,0.532
sensor,persistence,2,14.815,0.357,0.217
sensor,climatology,2,5.228,0.719,0.561
sensor,st_transformer,2,6.252,0.692,0.528
sensor,hybrid_clim_st,2,5.232,0.73,0.575
station,persistence,1,8.265,0.6,0.429
station,climatology,1,5.298,0.671,0.505
station,st_transformer,1,5.232,0.674,0.508
station,hybrid_clim_st,1,5.232,0.674,0.508
station,persistence,2,14.815,0.357,0.217
station,climatology,2,5.228,0.719,0.561
station,st_transformer,2,6.32,0.688,0.525
station,hybrid_clim_st,2,5.233,0.72,0.563
mixed,persistence,1,8.265,0.6,0.429
mixed,climatology,1,5.298,0.671,0.505
mixed,st_transformer,1,5.071,0.68,0.515
mixed,hybrid_clim_st,1,5.071,0.68,0.515
mixed,persistence,2,14.815,0.357,0.217
mixed,climatology,2,5.228,0.719,0.561
mixed,st_transformer,2,6.259,0.688,0.525
mixed,hybrid_clim_st,2,5.233,0.731,0.576
argo,persistence,1,8.265,0.6,0.429
argo,climatology,1,5.298,0.671,0.505
argo,st_transformer,1,5.241,0.667,0.5
argo,hybrid_clim_st,1,5.241,0.667,0.5
argo,persistence,2,14.815,0.357,0.217
argo,climatology,2,5.228,0.719,0.561
argo,st_transformer,2,6.309,0.685,0.521
argo,hybrid_clim_st,2,5.232,0.719,0.562
